holiday,nop,members,totalsales
1,221758,8737,164101892
1,467468,13921,299349472
1,711196,19134,447756935
1,959211,24809,609309649
1,1231410,30631,808572944
1,1479323,36268,1011325854
1,1748532,41885,1190055563
0,1810502,38945,1224769118
0,1848478,40498,1258282900
0,1886838,41851,1326830874
0,1909354,43185,1421240393
0,1910593,44206,1432364106
0,1936552,44911,1435547863
0,1947318,45560,1449484623
0,1953768,46035,1452892773
0,1960998,46007,1477894145
0,1965549,48104,1454240317
0,1982003,50397,1393214253
0,1988304,52370,1394134506
0,1998641,54914,1373182174
0,2000183,57388,1351222347
0,1985277,60248,1346410452
0,1951644,62638,1339549935
1,1843926,61762,1293423179
2,1694508,58506,1197305824
3,1574624,56086,1107452026
4,1435979,52455,1086901685
5,1283447,48653,1065974011
6,1121792,44362,1022848204
7,968203,40016,1003463811
7,887701,36796,1023436529
6,840473,33343,1058386317
5,771459,29409,1057799872
4,694860,26185,1815079305
3,623100,22956,1745249985
2,562325,19773,1669475498
1,502784,16408,1572319664
0,447448,13400,1473653529
0,401164,12238,1401729335
0,363439,11310,1329382612
0,331628,10713,461305427
0,302691,10094,420363834
0,278179,9663,382122559
0,259815,9434,348850691
0,239509,8917,324453961
0,222488,8590,296495900
0,201791,8208,280457000
0,190720,7851,611660010
0,185597,7706,1108540736
0,183840,7600,1597417668
0,183219,7667,1802203707
0,188060,7782,2034811991
0,190738,7991,2039887738
0,193686,8136,2044171193
0,198493,8283,1692823691
0,204555,8554,1579454465
0,211175,8838,1099469102
0,215772,8946,954336170
0,223606,9314,707305744
0,229770,9444,873209702
0,239174,9538,887474570
0,244759,9633,912971194
0,247831,9648,548835803
0,246758,9356,746385570
0,246908,9248,693614104
0,244345,9057,731363458
0,240824,8877,574756172
0,230692,8624,573295489
0,224020,8398,565097482
0,221738,8316,548740764
0,219714,8195,338833427
0,219443,8053,328988636
0,218148,7991,287053747
0,220727,7954,261890069
0,226274,8197,220729317
0,230636,8488,198745334
